,age,site
229,0.2742,3
230,0.6612,3
231,0.23,3
232,0.21,2
233,0.1188,0
234,0.0727,0
235,0.2724,0
236,0.21,5
237,0.46,1
238,0.2167,3
239,0.17170000000000002,0
240,0.1321,0
241,0.3,4
242,0.24670000000000003,3
243,0.0638,0
244,0.12240000000000001,0
245,0.27,4
246,0.49,1
247,0.4,1
248,0.2487,3
249,0.56,1
250,0.6,1
251,0.48,1
252,0.58,1
253,0.6644,3
254,0.46,1
255,0.42700000000000005,3
256,0.3048,0
257,0.1003,0
258,0.34,4
259,0.71,1
260,0.302,3
261,0.32,4
262,0.68,1
263,0.42,2
264,0.52,1
265,0.0693,0
266,0.6,1
267,0.78,1
268,0.09449999999999999,0
269,0.0785,0
270,0.6954,0
271,0.4717,0
272,0.45,1
273,0.2,5
274,0.23,5
275,0.28190000000000004,0
276,0.1283,0
277,0.69,1
278,0.10869999999999999,0
279,0.0633,0
280,0.21,5
281,0.51,1
282,0.10210000000000001,0
283,0.4,1
284,0.23850000000000002,3
285,0.7484000000000001,0
286,0.1343,0
287,0.0736,0
288,0.61,1
289,0.0885,0
290,0.46,1
291,0.52,1
292,0.65,1
293,0.2,5
294,0.17670000000000002,0
295,0.18,1
296,0.19,5
297,0.82,1
298,0.7573000000000001,3
299,0.23600000000000002,3
300,0.7722,3
301,0.0808,0
302,0.6086,3
303,0.14,0
304,0.2155,3
305,0.6668000000000001,0
306,0.34,1
307,0.26,4
308,0.4941,3
309,0.26,5
310,0.44,1
311,0.21969999999999998,3
312,0.1115,0
313,0.73,1
314,0.1085,0
315,0.21,2
316,0.5893,3
317,0.1115,0
318,0.64,1
319,0.26,3
320,0.37,1
321,0.41609999999999997,3
322,0.1316,0
323,0.10619999999999999,0
324,0.37,1
325,0.0659,0
326,0.6365999999999999,3
327,0.63,3
328,0.7001999999999999,3
329,0.2353,0
330,0.11410000000000001,0
331,0.5064,0
332,0.56,1
333,0.61,1
334,0.67,1
335,0.2102,3
336,0.61,1
337,0.1047,0
338,0.35,1
339,0.71,1
340,0.6034,0
341,0.64,1
342,0.5,1
343,0.276,3
344,0.19,5
345,0.39,3
346,0.6762,3
347,0.6857,3
348,0.22,5
349,0.25,3
350,0.51,1
351,0.79,1
352,0.1436,0
353,0.8039000000000001,3
354,0.24,5
355,0.3,1
356,0.42,1
357,0.22,5
358,0.47,1
359,0.0774,0
360,0.68,1
361,0.28859999999999997,3
362,0.1226,0
363,0.2112,3
364,0.69,1
365,0.28,1
366,0.32,1
367,0.37,1
368,0.65,1
369,0.579,0
370,0.1058,0
371,0.20199999999999999,3
372,0.19,1
373,0.37,1
374,0.69,1
375,0.6579999999999999,3
376,0.21,5
377,0.22,5
378,0.48,1
379,0.1304,0
380,0.62,1
381,0.65,1
382,0.22,5
383,0.71,1
384,0.2696,3
385,0.0712,0
386,0.1247,0
387,0.71,1
388,0.6739,0
389,0.34,4
390,0.23920000000000002,0
391,0.2,5
392,0.318,3
393,0.060700000000000004,0
394,0.0915,0
395,0.68,1
396,0.79,1
397,0.4464,0
398,0.19879999999999998,3
399,0.2669,3
400,0.0935,0
401,0.2696,3
402,0.27,5
403,0.1837,3
404,0.2553,3
405,0.2,3
406,0.5376,3
407,0.8284,3
408,0.1193,0
409,0.217,3
410,0.23,5
411,0.35,1
412,0.8,1
413,0.69,3
414,0.71,1
415,0.449,0
416,0.292,0
417,0.6353,3
418,0.0785,0
419,0.19,5
420,0.37,1
421,0.63,1
422,0.65,1
423,0.74,1
424,0.19,5
425,0.22519999999999998,3
426,0.83,1
427,0.685,3
428,0.71,1
429,0.39,1
430,0.1592,0
431,0.25,1
432,0.6951999999999999,3
433,0.1292,0
434,0.0621,0
435,0.23,5
436,0.52,1
437,0.6552,3
438,0.1026,0
439,0.75,1
440,0.58,1
441,0.3887,0
442,0.39,1
443,0.27,4
444,0.22,5
445,0.41,1
446,0.34619999999999995,3
447,0.2625,0
448,0.26,4
449,0.65,3
450,0.52,1
451,0.24,3
452,0.43,1
453,0.22,2
454,0.4269,3
455,0.26,5
456,0.23,5
457,0.2284,0
458,0.22,5
459,0.2207,3
460,0.73,3
